id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37903054,2025-12-09 00:00:00,X-57-90,A/2,0,1437,3,0,0,0,100.0,100.0,85.0,1440,1437,0.0,100.0,0.0,100.0,0.0,ZMOT,False
37903060,2025-12-09 00:00:00,X-57-91,A/2,0,1437,3,0,0,0,100.0,100.0,85.0,1440,1437,0.0,100.0,0.0,100.0,0.0,ZMOT,False
37903061,2025-12-09 00:00:00,X-57-93,A/2,0,1436,4,0,0,0,100.0,100.0,85.0,1440,1436,0.0,100.0,0.0,100.0,0.0,ZMOT,False
37903062,2025-12-09 00:00:00,X-57-94,A/2,0,1436,4,0,0,0,100.0,100.0,85.0,1440,1436,0.0,100.0,0.0,100.0,0.0,ZMOT,False
37903063,2025-12-09 00:00:00,X-57-95,C,633,803,4,0,0,0,100.0,100.0,85.0,1440,1436,43.958332,100.0,43.958332,100.0,43.958332,ZMOT,False
37903064,2025-12-09 00:00:00,X-57-96,C,632,804,4,0,0,0,100.0,100.0,85.0,1440,1436,43.88889,100.0,43.88889,100.0,43.88889,ZMOT,False
37903065,2025-12-09 00:00:00,X-57-97,B/2,750,477,213,0,0,0,100.0,100.0,85.0,1440,1227,52.083332,100.0,52.083332,100.0,52.083332,ZMOT,False
37902901,2025-12-09 00:00:00,X-64-102,A/2,0,1435,5,0,0,0,100.0,100.0,85.0,1440,1435,0.0,100.0,0.0,100.0,0.0,ZALO,False
37902902,2025-12-09 00:00:00,X-64-103,A/2,1100,330,10,0,0,0,100.0,100.0,85.0,1440,1430,76.388885,100.0,76.388885,100.0,76.388885,ZALO,False
37902903,2025-12-09 00:00:00,X-64-105,A/2,799,636,5,0,0,0,100.0,100.0,85.0,1440,1435,55.48611,100.0,55.48611,100.0,55.48611,ZALO,False
37902904,2025-12-09 00:00:00,X-64-106,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZALO,False
37902905,2025-12-09 00:00:00,X-64-110,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZALO,False
37902906,2025-12-09 00:00:00,X-64-117,A/2,2,1434,4,0,0,0,100.0,100.0,85.0,1440,1436,0.1388889,100.0,0.1388889,100.0,0.1388889,ZALO,False
37902907,2025-12-09 00:00:00,X-64-118,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZALO,False
